,0,1,2,3,4,5,6
18,"  No, we’ve never contemplated investing in Glencore",That’s why Glencore would announce ,  it,But it is looking increasingly like for some of the critical elements of batteries that Tesla will need to get into the mining business – mining and refining.,"Then that ended up being an asset because now we understood so much about the entire supply chain or what it took to build the car, so we were able to design a more integrated vehicle that actually needed far fewer parts and cost less and weighs less, and has higher performance","So we had to just build a lot of stuff ourselves, be vertically integrated, or we couldn’t create the car",So you can imagine if you’re an auto supplier that doesn’t sound like a smart financial decision.
19,That’s why Glencore would announce ,  it,But it is looking increasingly like for some of the critical elements of batteries that Tesla will need to get into the mining business – mining and refining.,"Then that ended up being an asset because now we understood so much about the entire supply chain or what it took to build the car, so we were able to design a more integrated vehicle that actually needed far fewer parts and cost less and weighs less, and has higher performance","So we had to just build a lot of stuff ourselves, be vertically integrated, or we couldn’t create the car",So you can imagine if you’re an auto supplier that doesn’t sound like a smart financial decision.,"But for an American car startup, Tesla was the first success in 100 years"
20,"But for an American car startup, Tesla was the first success in 100 years",So it’s been a century since a car company was successful in the US that was not a foreign car company coming in that was already successful in their home market,"Like the best suppliers wouldn’t talk to us because a car startup has not been successful in the United States since Chrysler in the 20s, I believe they started","In the beginning, we were just very vertically integrated because the suppliers didn’t take us seriously",  The scaling constraints change as time goes by,Is that fair?,"Other people, they won’t"
21,So it’s been a century since a car company was successful in the US that was not a foreign car company coming in that was already successful in their home market,"Like the best suppliers wouldn’t talk to us because a car startup has not been successful in the United States since Chrysler in the 20s, I believe they started","In the beginning, we were just very vertically integrated because the suppliers didn’t take us seriously",  The scaling constraints change as time goes by,Is that fair?,"Other people, they won’t",And they’ll rely on our agreement
22,"Like the best suppliers wouldn’t talk to us because a car startup has not been successful in the United States since Chrysler in the 20s, I believe they started","In the beginning, we were just very vertically integrated because the suppliers didn’t take us seriously",  The scaling constraints change as time goes by,Is that fair?,"Other people, they won’t",And they’ll rely on our agreement,"We are able to assess that and give contracts to be able to say ‘contractual agreements, okay’"
23,"In the beginning, we were just very vertically integrated because the suppliers didn’t take us seriously",  The scaling constraints change as time goes by,Is that fair?,"Other people, they won’t",And they’ll rely on our agreement,"We are able to assess that and give contracts to be able to say ‘contractual agreements, okay’","We got people in mines who are knowledgeable, and they come to say, ‘we can produce this much lithium, this much copper’"
24,  The scaling constraints change as time goes by,Is that fair?,"Other people, they won’t",And they’ll rely on our agreement,"We are able to assess that and give contracts to be able to say ‘contractual agreements, okay’","We got people in mines who are knowledgeable, and they come to say, ‘we can produce this much lithium, this much copper’", anyone wants to show us a mine
25,Is that fair?,"Other people, they won’t",And they’ll rely on our agreement,"We are able to assess that and give contracts to be able to say ‘contractual agreements, okay’","We got people in mines who are knowledgeable, and they come to say, ‘we can produce this much lithium, this much copper’", anyone wants to show us a mine,"We can’t rely on you, we will do vertical integration"
26,  Yes,Is that one of the ideas that we’re going to be able to move things around with our own if there’s not enough drivers? That we’re going to have autonomous transport? That’s question one.,"  My question, though, is, we have autonomous driving, and we have autonomous trucks",But it’s actually good in the long run to smooth out deliveries and actually have cars in transit at the end of the quarter because then you’re not rushing to get everything delivered by the end of the quarter and paying all these expedite fees.,There weren’t enough car carriers and weren’t enough ships,And the reason was that we got too big for our cars to actually be transported in the final few weeks,We had a bit of criticism for our Q3 results because we had a lot of cars in transit
27,Is that one of the ideas that we’re going to be able to move things around with our own if there’s not enough drivers? That we’re going to have autonomous transport? That’s question one.,"  My question, though, is, we have autonomous driving, and we have autonomous trucks",But it’s actually good in the long run to smooth out deliveries and actually have cars in transit at the end of the quarter because then you’re not rushing to get everything delivered by the end of the quarter and paying all these expedite fees.,There weren’t enough car carriers and weren’t enough ships,And the reason was that we got too big for our cars to actually be transported in the final few weeks,We had a bit of criticism for our Q3 results because we had a lot of cars in transit,"  Yes, totally"
28,There weren’t enough car carriers and weren’t enough ships,And the reason was that we got too big for our cars to actually be transported in the final few weeks,We had a bit of criticism for our Q3 results because we had a lot of cars in transit,"  Yes, totally","And so the question, there’s presumably capacity to be able to logistics to ship all these cars all over the place to have people pick them up where they want them? But not if they all do in the same week?","But that’s still only 2 million cars a year, and it is 100 million cars to be made a year","  So if we’re doing that, then that means that you’re producing a car within 15 seconds"
29,And the reason was that we got too big for our cars to actually be transported in the final few weeks,We had a bit of criticism for our Q3 results because we had a lot of cars in transit,"  Yes, totally","And so the question, there’s presumably capacity to be able to logistics to ship all these cars all over the place to have people pick them up where they want them? But not if they all do in the same week?","But that’s still only 2 million cars a year, and it is 100 million cars to be made a year","  So if we’re doing that, then that means that you’re producing a car within 15 seconds","But I believe I have said in the past publicly that our aspiration is to reach 40,000 a week by the end of this year."
30,We had a bit of criticism for our Q3 results because we had a lot of cars in transit,"  Yes, totally","And so the question, there’s presumably capacity to be able to logistics to ship all these cars all over the place to have people pick them up where they want them? But not if they all do in the same week?","But that’s still only 2 million cars a year, and it is 100 million cars to be made a year","  So if we’re doing that, then that means that you’re producing a car within 15 seconds","But I believe I have said in the past publicly that our aspiration is to reach 40,000 a week by the end of this year.","  I mean, I have to be careful of MNPI "
31,"  Yes, totally","And so the question, there’s presumably capacity to be able to logistics to ship all these cars all over the place to have people pick them up where they want them? But not if they all do in the same week?","But that’s still only 2 million cars a year, and it is 100 million cars to be made a year","  So if we’re doing that, then that means that you’re producing a car within 15 seconds","But I believe I have said in the past publicly that our aspiration is to reach 40,000 a week by the end of this year.","  I mean, I have to be careful of MNPI ","When we’re starting to make so many cars by the end of this year, 40,000 cars a week…"
32,"And so the question, there’s presumably capacity to be able to logistics to ship all these cars all over the place to have people pick them up where they want them? But not if they all do in the same week?","But that’s still only 2 million cars a year, and it is 100 million cars to be made a year","  So if we’re doing that, then that means that you’re producing a car within 15 seconds","But I believe I have said in the past publicly that our aspiration is to reach 40,000 a week by the end of this year.","  I mean, I have to be careful of MNPI ","When we’re starting to make so many cars by the end of this year, 40,000 cars a week…",Number one is logistics
33,"  I mean, I have to be careful of MNPI ","When we’re starting to make so many cars by the end of this year, 40,000 cars a week…",Number one is logistics,Two other topics where we have some questions,"  So, let’s go off Twitter","But you should be able to pick your preference and decide if you want sort of full contact battle, or do you want like, “I just want to look at puppies and flowers and nice landscapes and stuff.”","And you don’t mind engaging in vigorous arguments on Twitter, that kind of thing"
34,"When we’re starting to make so many cars by the end of this year, 40,000 cars a week…",Number one is logistics,Two other topics where we have some questions,"  So, let’s go off Twitter","But you should be able to pick your preference and decide if you want sort of full contact battle, or do you want like, “I just want to look at puppies and flowers and nice landscapes and stuff.”","And you don’t mind engaging in vigorous arguments on Twitter, that kind of thing","And then some people might say, “No, I want Heavy Metal thrash.” Okay, then you don’t mind someone saying mean things to you, you know, within the context of the law"
35,I would count that as a great outcome,"But I’m confident we can satisfy, like, I don’t know, 80% of America, 80% of the world, but maybe not the 10% most extreme of either side",But I think it’s just very difficult to satisfy extremists unless you fully buy into whatever their dogma is,"  Well, I don’t want them to hate me",  I read also that you said – and then we’ll move off Twitter – but you said that your goal is you want to make the 20% of people who are on the far right to hate you just like you want to make the 20% of people on the far left to hate you.,I think it is important to have a sort of a digital town square where people feel comfortable talking.,I would count that as a great outcome
36,"But I’m confident we can satisfy, like, I don’t know, 80% of America, 80% of the world, but maybe not the 10% most extreme of either side",But I think it’s just very difficult to satisfy extremists unless you fully buy into whatever their dogma is,"  Well, I don’t want them to hate me",  I read also that you said – and then we’ll move off Twitter – but you said that your goal is you want to make the 20% of people who are on the far right to hate you just like you want to make the 20% of people on the far left to hate you.,I think it is important to have a sort of a digital town square where people feel comfortable talking.,I would count that as a great outcome,"I’m confident we can satisfy 80% of America, 80% of the world, but maybe not the 10% most extreme of either side"
37,But I think it’s just very difficult to satisfy extremists unless you fully buy into whatever their dogma is,"  Well, I don’t want them to hate me",  I read also that you said – and then we’ll move off Twitter – but you said that your goal is you want to make the 20% of people who are on the far right to hate you just like you want to make the 20% of people on the far left to hate you.,I think it is important to have a sort of a digital town square where people feel comfortable talking.,I would count that as a great outcome,"I’m confident we can satisfy 80% of America, 80% of the world, but maybe not the 10% most extreme of either side","Well, I mean, who’s going to stay on a platform, if that’s prevalent?  inherent wrongness, who is going to stay on the platform? Our goal with Twitter is, how do we get 80% of America? Maybe not like the sort of far left and the far right, and maybe we don’t want them necessarily – but how do we get 80% of the public to join a digital town square, and voice their opinion and exchange ideas and maybe once in a while, change their minds? I mean, once in a while."
38,"  Well, I don’t want them to hate me",  I read also that you said – and then we’ll move off Twitter – but you said that your goal is you want to make the 20% of people who are on the far right to hate you just like you want to make the 20% of people on the far left to hate you.,I think it is important to have a sort of a digital town square where people feel comfortable talking.,I would count that as a great outcome,"I’m confident we can satisfy 80% of America, 80% of the world, but maybe not the 10% most extreme of either side","Well, I mean, who’s going to stay on a platform, if that’s prevalent?  inherent wrongness, who is going to stay on the platform? Our goal with Twitter is, how do we get 80% of America? Maybe not like the sort of far left and the far right, and maybe we don’t want them necessarily – but how do we get 80% of the public to join a digital town square, and voice their opinion and exchange ideas and maybe once in a while, change their minds? I mean, once in a while.",You speak of sort of antisemitism or racism or anything like that
39,  I read also that you said – and then we’ll move off Twitter – but you said that your goal is you want to make the 20% of people who are on the far right to hate you just like you want to make the 20% of people on the far left to hate you.,I think it is important to have a sort of a digital town square where people feel comfortable talking.,I would count that as a great outcome,"I’m confident we can satisfy 80% of America, 80% of the world, but maybe not the 10% most extreme of either side","Well, I mean, who’s going to stay on a platform, if that’s prevalent?  inherent wrongness, who is going to stay on the platform? Our goal with Twitter is, how do we get 80% of America? Maybe not like the sort of far left and the far right, and maybe we don’t want them necessarily – but how do we get 80% of the public to join a digital town square, and voice their opinion and exchange ideas and maybe once in a while, change their minds? I mean, once in a while.",You speak of sort of antisemitism or racism or anything like that,"I mean, it stands to reason that if a social media company is not taking steps to make it positive to be on that social platform, then people won’t come or they’ll leave"
40,"And we’re going to execute that plan from 22 years ago, which, amazingly, no one has done","I mean, with a lot of other people, but there’s a product plan I wrote, which I wish I’d kept a copy of, in July of 2000, where I thought it would be possible to make the most valuable financial institution in the world","  Yeah, pretty much",  Because you built PayPal?,"And also, I know how to make a way better than PayPal.","You know, I’m one of the key people behind X.com, which became PayPal",I wrote software personally for 20 years
41,"I mean, with a lot of other people, but there’s a product plan I wrote, which I wish I’d kept a copy of, in July of 2000, where I thought it would be possible to make the most valuable financial institution in the world","  Yeah, pretty much",  Because you built PayPal?,"And also, I know how to make a way better than PayPal.","You know, I’m one of the key people behind X.com, which became PayPal",I wrote software personally for 20 years,"I really understand the internet, and I wrote software"
42,"  Yeah, pretty much",  Because you built PayPal?,"And also, I know how to make a way better than PayPal.","You know, I’m one of the key people behind X.com, which became PayPal",I wrote software personally for 20 years,"I really understand the internet, and I wrote software","But I think once Twitter is set on the right path, it is a much easier thing to manage than SpaceX or Tesla"
43,  Because you built PayPal?,"And also, I know how to make a way better than PayPal.","You know, I’m one of the key people behind X.com, which became PayPal",I wrote software personally for 20 years,"I really understand the internet, and I wrote software","But I think once Twitter is set on the right path, it is a much easier thing to manage than SpaceX or Tesla",No choice
44,"You know, I’m one of the key people behind X.com, which became PayPal",I wrote software personally for 20 years,"I really understand the internet, and I wrote software","But I think once Twitter is set on the right path, it is a much easier thing to manage than SpaceX or Tesla",No choice,I’ll have to do that for a while,"So yeah, I go to sleep, I wake up, I work, go to sleep, wake up, work, do that seven days a week"
45,I wrote software personally for 20 years,"I really understand the internet, and I wrote software","But I think once Twitter is set on the right path, it is a much easier thing to manage than SpaceX or Tesla",No choice,I’ll have to do that for a while,"So yeah, I go to sleep, I wake up, I work, go to sleep, wake up, work, do that seven days a week","  Yeah, my workload went up from about, I don’t know, 70 to 80 hours a week to probably 120"
46,"I really understand the internet, and I wrote software","But I think once Twitter is set on the right path, it is a much easier thing to manage than SpaceX or Tesla",No choice,I’ll have to do that for a while,"So yeah, I go to sleep, I wake up, I work, go to sleep, wake up, work, do that seven days a week","  Yeah, my workload went up from about, I don’t know, 70 to 80 hours a week to probably 120",This is what we need.”
47,"But I think once Twitter is set on the right path, it is a much easier thing to manage than SpaceX or Tesla",No choice,I’ll have to do that for a while,"So yeah, I go to sleep, I wake up, I work, go to sleep, wake up, work, do that seven days a week","  Yeah, my workload went up from about, I don’t know, 70 to 80 hours a week to probably 120",This is what we need.”,Do it
48,No choice,I’ll have to do that for a while,"So yeah, I go to sleep, I wake up, I work, go to sleep, wake up, work, do that seven days a week","  Yeah, my workload went up from about, I don’t know, 70 to 80 hours a week to probably 120",This is what we need.”,Do it,"And then you would just do it the same way we do with SpaceX and Tesla, where you just attend the meetings regularly and say, “This is what we need to do"
49,I’ll have to do that for a while,"So yeah, I go to sleep, I wake up, I work, go to sleep, wake up, work, do that seven days a week","  Yeah, my workload went up from about, I don’t know, 70 to 80 hours a week to probably 120",This is what we need.”,Do it,"And then you would just do it the same way we do with SpaceX and Tesla, where you just attend the meetings regularly and say, “This is what we need to do","Okay, so we’re now there, you’re living at this place, you go there for the next couple three weeks,  and then we have a team lined up, you think you have a team lined up to manage it"
50,"So yeah, I go to sleep, I wake up, I work, go to sleep, wake up, work, do that seven days a week","  Yeah, my workload went up from about, I don’t know, 70 to 80 hours a week to probably 120",This is what we need.”,Do it,"And then you would just do it the same way we do with SpaceX and Tesla, where you just attend the meetings regularly and say, “This is what we need to do","Okay, so we’re now there, you’re living at this place, you go there for the next couple three weeks,  and then we have a team lined up, you think you have a team lined up to manage it","  I meant, by the way, 400 million instead of 4 billion"
51,"  Yeah, my workload went up from about, I don’t know, 70 to 80 hours a week to probably 120",This is what we need.”,Do it,"And then you would just do it the same way we do with SpaceX and Tesla, where you just attend the meetings regularly and say, “This is what we need to do","Okay, so we’re now there, you’re living at this place, you go there for the next couple three weeks,  and then we have a team lined up, you think you have a team lined up to manage it","  I meant, by the way, 400 million instead of 4 billion","If activist groups can pressure advertisers, upon which Twitter is fundamentally dependent, to suppress free speech, then that doesn’t seem right."
52,This is what we need.”,Do it,"And then you would just do it the same way we do with SpaceX and Tesla, where you just attend the meetings regularly and say, “This is what we need to do","Okay, so we’re now there, you’re living at this place, you go there for the next couple three weeks,  and then we have a team lined up, you think you have a team lined up to manage it","  I meant, by the way, 400 million instead of 4 billion","If activist groups can pressure advertisers, upon which Twitter is fundamentally dependent, to suppress free speech, then that doesn’t seem right.","And I think this is, frankly, an attack on the First Amendment"
53,"And Twitter is currently more vulnerable than they are to advertising because most of Twitter’s advertising is large brand advertising, as opposed to direct response","So if you look at, say Snapchat, or, you know, Google, Facebook, whatnot, they’ve all had a difficult time with advertising revenue dropping",And any company that is dependent on advertising has had a hard time,"To be frank, Twitter was having pretty serious revenue challenges and cost challenges before the acquisition talks started",I wished,"  No, it’s not going to save four billion a year","And that should save us what, four billion a year?"
54,"So if you look at, say Snapchat, or, you know, Google, Facebook, whatnot, they’ve all had a difficult time with advertising revenue dropping",And any company that is dependent on advertising has had a hard time,"To be frank, Twitter was having pretty serious revenue challenges and cost challenges before the acquisition talks started",I wished,"  No, it’s not going to save four billion a year","And that should save us what, four billion a year?","  Today, we fired half of Twitter"
55,And any company that is dependent on advertising has had a hard time,"To be frank, Twitter was having pretty serious revenue challenges and cost challenges before the acquisition talks started",I wished,"  No, it’s not going to save four billion a year","And that should save us what, four billion a year?","  Today, we fired half of Twitter",Nobody ever goes there.
56,"To be frank, Twitter was having pretty serious revenue challenges and cost challenges before the acquisition talks started",I wished,"  No, it’s not going to save four billion a year","And that should save us what, four billion a year?","  Today, we fired half of Twitter",Nobody ever goes there.,"I mean, the joke is like, what’s the best place to hide a dead body would be the second page of Google search results"
57,I wished,"  No, it’s not going to save four billion a year","And that should save us what, four billion a year?","  Today, we fired half of Twitter",Nobody ever goes there.,"I mean, the joke is like, what’s the best place to hide a dead body would be the second page of Google search results",  Yeah
58,"  No, it’s not going to save four billion a year","And that should save us what, four billion a year?","  Today, we fired half of Twitter",Nobody ever goes there.,"I mean, the joke is like, what’s the best place to hide a dead body would be the second page of Google search results",  Yeah,Crime guys.
59,"And that should save us what, four billion a year?","  Today, we fired half of Twitter",Nobody ever goes there.,"I mean, the joke is like, what’s the best place to hide a dead body would be the second page of Google search results",  Yeah,Crime guys.,  And we can recruit them as engineers to program for us
60,"I mean, the joke is like, what’s the best place to hide a dead body would be the second page of Google search results",  Yeah,Crime guys.,  And we can recruit them as engineers to program for us,"And then crime stops paying, and they stop trying to do all these things.","  Yeah, basically, the bad stuff gets pushed way down","  Something we don’t want to see, it gets pushed way down."
61,  Yeah,Crime guys.,  And we can recruit them as engineers to program for us,"And then crime stops paying, and they stop trying to do all these things.","  Yeah, basically, the bad stuff gets pushed way down","  Something we don’t want to see, it gets pushed way down.",It’s rare.
62,Crime guys.,  And we can recruit them as engineers to program for us,"And then crime stops paying, and they stop trying to do all these things.","  Yeah, basically, the bad stuff gets pushed way down","  Something we don’t want to see, it gets pushed way down.",It’s rare.,But the thing is that Google search results are so good for page one that you never go to page eight
63,"  Yeah, basically, the bad stuff gets pushed way down","  Something we don’t want to see, it gets pushed way down.",It’s rare.,But the thing is that Google search results are so good for page one that you never go to page eight,"If you go to page eight of Google search, there will be a ton of scams and stuff, you know, call it page eight, page nine, something like that",This is sort of analogous to Google search,"So the net effect will be over time that the verified users will pretty much always be at the top of comments and search, and you’ll have to scroll far to see the unverified users, which will be the bots and trolls and whatnot"
64,"  Something we don’t want to see, it gets pushed way down.",It’s rare.,But the thing is that Google search results are so good for page one that you never go to page eight,"If you go to page eight of Google search, there will be a ton of scams and stuff, you know, call it page eight, page nine, something like that",This is sort of analogous to Google search,"So the net effect will be over time that the verified users will pretty much always be at the top of comments and search, and you’ll have to scroll far to see the unverified users, which will be the bots and trolls and whatnot","And we’re also piggybacking on Apple’s authentication system, which is another layer of security"
65,"The cost of crime is so cheap, and that’s part of why crime and hateful conduct pays",Because right now to create a bot on Twitter cost less than a penny,The point of this is to make crime not to pay,"  Yes, so if you’re payment verified with blue checkmark, then you will be prioritized",  That’s what is called the amplified.,"But if we can get enough verified users, and we’re going to prioritize Twitter search replies and mentions by verified users first…",That’s going to be transformative
66,Because right now to create a bot on Twitter cost less than a penny,The point of this is to make crime not to pay,"  Yes, so if you’re payment verified with blue checkmark, then you will be prioritized",  That’s what is called the amplified.,"But if we can get enough verified users, and we’re going to prioritize Twitter search replies and mentions by verified users first…",That’s going to be transformative,So we’re going to change that rapidly at Twitter
67,The point of this is to make crime not to pay,"  Yes, so if you’re payment verified with blue checkmark, then you will be prioritized",  That’s what is called the amplified.,"But if we can get enough verified users, and we’re going to prioritize Twitter search replies and mentions by verified users first…",That’s going to be transformative,So we’re going to change that rapidly at Twitter,"And that’s because, at least until now, Twitter is not even given them enough video length to post a video, and then they give the content creators no means of monetizing the video"
68,"  Yes, so if you’re payment verified with blue checkmark, then you will be prioritized",  That’s what is called the amplified.,"But if we can get enough verified users, and we’re going to prioritize Twitter search replies and mentions by verified users first…",That’s going to be transformative,So we’re going to change that rapidly at Twitter,"And that’s because, at least until now, Twitter is not even given them enough video length to post a video, and then they give the content creators no means of monetizing the video","I mean, right now, if you’re on Twitter, you’ll see a lot of links posted to YouTube and Tik Tok"
69,  That’s what is called the amplified.,"But if we can get enough verified users, and we’re going to prioritize Twitter search replies and mentions by verified users first…",That’s going to be transformative,So we’re going to change that rapidly at Twitter,"And that’s because, at least until now, Twitter is not even given them enough video length to post a video, and then they give the content creators no means of monetizing the video","I mean, right now, if you’re on Twitter, you’ll see a lot of links posted to YouTube and Tik Tok","  Yeah, absolutely"
70,That’s going to be transformative,So we’re going to change that rapidly at Twitter,"And that’s because, at least until now, Twitter is not even given them enough video length to post a video, and then they give the content creators no means of monetizing the video","I mean, right now, if you’re on Twitter, you’ll see a lot of links posted to YouTube and Tik Tok","  Yeah, absolutely",  Give them a chance to make money.,"And we can also start sharing revenue with content creators, which is essential."
71,So we’re going to change that rapidly at Twitter,"And that’s because, at least until now, Twitter is not even given them enough video length to post a video, and then they give the content creators no means of monetizing the video","I mean, right now, if you’re on Twitter, you’ll see a lot of links posted to YouTube and Tik Tok","  Yeah, absolutely",  Give them a chance to make money.,"And we can also start sharing revenue with content creators, which is essential.","Because now we can afford long-form video, long audio podcasts"
72,"And that’s because, at least until now, Twitter is not even given them enough video length to post a video, and then they give the content creators no means of monetizing the video","I mean, right now, if you’re on Twitter, you’ll see a lot of links posted to YouTube and Tik Tok","  Yeah, absolutely",  Give them a chance to make money.,"And we can also start sharing revenue with content creators, which is essential.","Because now we can afford long-form video, long audio podcasts",You’ll get a lot more than just a blue checkmark for $8 a month
73,"I mean, right now, if you’re on Twitter, you’ll see a lot of links posted to YouTube and Tik Tok","  Yeah, absolutely",  Give them a chance to make money.,"And we can also start sharing revenue with content creators, which is essential.","Because now we can afford long-form video, long audio podcasts",You’ll get a lot more than just a blue checkmark for $8 a month,"But I think that there is an answer to that, which is to get as many regular users of Twitter to be a subscriber for $8 a month"
74,"  Yeah, absolutely",  Give them a chance to make money.,"And we can also start sharing revenue with content creators, which is essential.","Because now we can afford long-form video, long audio podcasts",You’ll get a lot more than just a blue checkmark for $8 a month,"But I think that there is an answer to that, which is to get as many regular users of Twitter to be a subscriber for $8 a month","Because there is a huge problem with spam and bots and trolls on Twitter, and organizations trying to manipulate public opinion and just generally making the system worse"
